NewsTitle,NewsDate,Region,Province,Department,Link_News
องค์การอนามัยโลกขอให้รัฐบาลประเทศต่างๆระงับการฉีดวัคซีนโควิด-19ในเด็กไว้ก่อน,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174337722
"ประชาชนในมาเลเซีย สมัครใจ จองฉีดวัคซีนแอสตราเซเนกา 268,000 โดส เต็มภายใน 3 ชั่วโมง รัฐบาลเตรียมขยายพื้นที่ฉีดเพิ่มในสัปดาห์หน้า",8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210508115608582
บริษัทไฟเซอร์ยื่นคำร้องต่อองค์การการอาหารและยาสหรัฐเพื่อขออนุมัติใช้งานวัคซีนโควิด-19ในแบบปกติ,8/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210508174303717
ศรีลังกาอนุมัติการใช้วัคซีนโควิด-19 ของบริษัทไฟเซอร์เป็นการฉุกเฉินแล้ว,9/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210509170458965
บริษัทไบโอเอ็นเทคระบุว่า ไม่มีหลักฐานบ่งชี้ว่า วัคซีนโควิด-19 ของบริษัทต้องได้รับการปรับปรุงเพื่อให้สามารถต้านเชื้อโควิด-19 กลายพันธุ์ได้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511004748273
สหรัฐฯ อนุญาตให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับผู้ที่มีอายุระหว่าง 12 – 15 ปี,11/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511105053338
สหรัฐอนุมัติวัคซีนโควิด-19 ของบริษัทไฟเซอร์-ไบโอเอ็นเทค เพื่อใช้ในเด็กอายุระหว่าง 12-15 ปีแล้ว,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511124137400
สหภาพยุโรปอาจอนุมัติวัคซีนโควิด-19 ของบริษัทไฟเซอร์ สำหรับใช้ในเด็กวัย 12-15 เร็วๆ นี้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511124145401
ผลการศึกษาในสภาวะใช้งานจริงพบว่าวัคซีนโควิด-19 ของไฟเซอร์สามารถป้องกันการเกิดอาการรุนแรงในผู้ติดเชื้อกลายพันธุ์สายพันธุ์อังกฤษและแอฟริกาใต้ได้,11/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210511195025672
ญี่ปุ่น เตรียมดำเนินการฉีดวัคซีนโควิด-19 ในเด็กอายุระหว่าง 12-15 ปี,12/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210512115803830
โฆษก กต. ระบุ ยังไม่มีคำขออนุญาตนำเข้าวัคซีนโควิด-19 จากสถานเอกอัครราชทูตสหรัฐอเมริกาประจำประเทศไทย พร้อมย้ำ ไทยมีนโยบายที่จะฉีดวัคซีนให้ทุกคนที่อยู่ในประเทศ แต่ต้องปฏิบัติตามกฎเกณฑ์และข้อบังคับตามกฎหมายไทย,12/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210512134324875
ญี่ปุ่นจะฉีดวัคซีนโควิด-19 ให้นักกีฬาโอลิมปิก ก่อนที่มหกรรมกีฬาโอลิมปิกจะเริ่มขึ้น,12/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210512170009026
ศูนย์ควบคุมและป้องกันโรคแห่งสหรัฐฯ แนะนำให้ใช้วัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับเด็กอายุระหว่าง 12-15 ปี,13/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210513132540344
นักวิจัยชี้ว่า การใช้วัคซีนโควิด-19ของไฟเซอร์และแอสตราเซเนการ่วมกัน ทำให้เกิดผลข้างเคียงเพิ่มขึ้น,13/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210513183012552
รัฐแคลิฟอร์เนียของสหรัฐเริ่มทยอยฉีดวัคซีนโควิด-19ของไฟเซอร์ให้เด็กอายุ 12-15 ปีแล้ว,15/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210515235019295
"ข้อเท็จจริง การผลิตวัคซีน ""สยามไบโอไซเอนซ์"" ไม่ล่าช้า ผ่านเกณฑ์การตรวจสอบคุณภาพระดับโลก",15/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210515112146113
สถานการณ์การแพร่ระบาดโรคโควิด-19 ของเวียดนาม ยังคงน่ากังวล หลังพบผู้ติดเชื้อรายใหม่ เพิ่มขึ้นอย่างต่อเนื่อง,16/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210516184437455
สหรัฐฯ เตรียมแบ่งปันวัคซันโควิด-19 กว่า 80 ล้านโดส ให้กับนานาชาติ ช่วยรับมือการแพร่ระบาดโรคโควิด-19 ที่ทวีความรุนแรงขึ้น,18/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210518111513919
"  ทั่วโลกมีผู้ได้รับการฉีดวัคซีนโควิด-19ไปแล้วกว่า 1,500 ล้านโดส",19/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210519191635714
สิงคโปร์อนุมัติให้ฉีดวัคซีนโควิด-19 ของไฟเซอร์ไบโอเอ็นเทคในเด็กอายุ 12-15 ปีแล้ว,19/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210519191524712
สิงคโปร์รายงานพบผู้ติดเชื้อโควิด-19 รายใหม่ 38 คน ส่วนใหญ่เป็นการติดเชื้อในประเทศ,19/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210519223943765
วัคซีนโควิด-19 ที่อนุมัติใช้ในสหรัฐมีประสิทธิภาพในการต่อต้านเชื้อกลายพันธุ์สายพันธุ์อินเดีย,19/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210519223653764
วัคซีนโควิด-19 ที่อนุมัติใช้ในสหรัฐมีประสิทธิภาพในการต่อต้านเชื้อกลายพันธุ์สายพันธุ์อินเดีย,19/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210519192138718
องค์การอาหารและยาสหรัฐอนุมัติการเก็บรักษาวัคซีนโควิด-19ของไฟเซอร์ไบโอเอ็นเทค                  ในอุณหภูมิตู้เย็นปกตินาน 1 เดือน,20/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210520190325170
องค์การเภสัชกรรม รับมอบวัคซีนซิโนแวค จำนวน 1.5 ล้านโดสจากประเทศจีน ทำให้ยอดซิโนแวคถึงไทยแล้ว รวม 6 ล้านโดส และจะได้รับเพิ่มอีก 3 ล้านโดส ในเดือนมิถุนายนนี้,20/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210520152916968
"เวียดนามวางแผนจัดตั้งกองทุนมูลค่าราว 1,100 ล้านดอลลาร์สหรัฐ เพื่อจัดหาวัคซีนโควิด-19จำนวน 150 ล้านโดส สำหรับประชากรในประเทศ",20/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210520190123164
ญี่ปุ่นเตรียมอนุมัติการใช้วัคซีนโควิด-19 ของโมเดอร์นา และแอสตราเซเนกรา เร่งกระบวนการฉีดวัคซีนโควิด-19 ของประเทศ,21/5/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210521111600291
ญี่ปุ่นอนุมัติวัคซีนโควิด-19 ของบริษัทโมเดอร์นา และแอสตราเซเนกา อย่างเป็นทางการแล้ววันนี้,21/5/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210521161028499
จังหวัดสุพรรณบุรีจัดประชุมคณะกรรมการโรคติดต่อ ติดตามสถานการณ์ไวรัส covid-19 และการบริหารจัดการวัคซีน,21/5/2021,ภาคตะวันตก,กาญจนบุรี,สำนักงานประชาสัมพันธ์จังหวัดสุพรรณบุรี,https://thainews.prd.go.th/th/news/detail/TCATG210521190831594
