NewsTitle,NewsDate,Region,Province,Department,Link_News
ผู้ว่าฯ ตาก เยี่ยมการให้บริการฉีดวัคซีนป้องกันโควิด-19 ของโรงพยาบาลสมเด็จพระเจ้าตากสินมหาราช ที่ให้บริการฉีดกระตุ้นเข็ม 3 แก่ประชาชนในพื้นที่ตลอดทั้งวัน เพื่อเร่งสร้างภูมิต้านทานหมู่ พร้อมกันทั่วประเทศ,24/9/2021,ภาคตะวันตก,ตาก,สำนักงานประชาสัมพันธ์จังหวัดตาก,https://thainews.prd.go.th/th/news/detail/TCATG210924171409903
สั่งสถานศึกษาเร่งสำรวจจำนวนนักเรียนที่ผู้ปกครองยินยอม ฉีดและไม่ฉีดวัคซีนไฟเซอร์,25/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210924152005805
รมว.สธ. ยืนยัน ไทยยังไม่ได้รับเอกสารแจ้งบริจาคไฟเซอร์เพิ่มจากสหรัฐอเมริกา,25/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210924152235810
ประธานาธิบดีสหรัฐกล่าวว่า ชาวอเมริกัน 60 ล้านคนมีคุณสมบัติเข้ารับการฉีดวัคซีนโควิด-19 เข็ม 3 ของไฟเซอร์,25/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210925060031988
ผู้อำนวยการซีดีซีของสหรัฐกล่าวว่า  วัคซีนเข็มกระตุ้นจำเป็นในการปกป้องผู้ที่ทำงานเสี่ยงต่อการติดเชื้อโรคโควิด-19,25/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210925123403068
สถานการณ์โควิด 19 มีเแนวโน้มลดลงต่อเนื่อง พร้อมเร่งเดินหน้าฉีดวัคซีนโควิด-19 ให้ครอบคลุมกับประชาชนทุกกลุ่มภายในปีนี้,25/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210925193959208
ชาวอเมริกันเกือบ 60 ล้านคนได้สิทธิฉีดวัคซีนโควิด-19ของไฟเซอร์ไบโอเอ็นเทคเป็น  เข็มกระตุ้น หรือ บูสเตอร์,26/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210926104113283
ปารากวัยไม่พบผู้เสียชีวิตจากโรคโควิด-19 เป็นครั้งแรกนับตั้งแต่เดือนมีนาคมปีที่แล้ว,27/9/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210927085514491
ผู้ปกครองเทคนิคยะลา มั่นใจยินยอมให้บุตรหลานฉีดวัคซีน Pfizer เตรียมความพร้อมก่อนเปิดเรียน On-Site,27/9/2021,ภาคใต้,ยะลา,สทท.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210927140640634
ประชาชนทุกกลุ่มเป้าหมายในเขตเทศบาลเมืองเบตง ยังคงเข้ารับฉีดวัคซีน ซิโนฟาร์มฉีดวัคซีนอย่างต่อเนื่อง พร้อมเตรียมฉีดวัคซีนไฟเซอร์ให้แก่นักเรียนที่ได้รับความเห็นชอบจากผู้ปกครองในเดือนตุลาคมนี้,27/9/2021,ภาคใต้,ยะลา,สวท.เบตง จ.ยะลา,https://thainews.prd.go.th/th/news/detail/TCATG210927145300677
