NewsTitle,NewsDate,Region,Province,Department,Link_News
ประมวลข่าวทั่วไทยประจำวันที่ 14 มิถุนายน 2564,14/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210614154548036
ผลการทดลองชี้ว่าวัคซีนโนวาแวกซ์ของสหรัฐมีประสิทธิภาพในการป้องกันเชื้อโควิด-19 มากกว่าร้อยละ 90,15/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210615112709304
วัคซีนโควิด-19ของแอสตาเซเนกาและไฟเซอร์ไบโอเอ็นเทคมีประสิทธิภาพสูงในการป้องกันอาการป่วยรุนแรงที่ต้องเข้ารับการรักษาในโรงพยาบาลจากการติดเชื้อกลายพันธุ์เดลตา,15/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210615161953486
นายกรัฐมนต แถลง “ประเทศไทยต้องเปิดประเทศ ภายใน 120 วัน”,16/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210616190338021
พื้นที่สีแดงเข้มเหลือ 4 จังหวัด ปรับมาตรการผ่อนคลายในแต่ละพื้นที่ เห็นชอบเพิ่มกรอบการจัดหาวัคซีนเป็น 150 ล้านโดส ภายในปี 2565,18/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210618142704649
สรุปข่าวประจำสัปดาห์ ( 14- 17 มิถุนายน 2564 ),18/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210618173926787
"เกาหลีใต้ เตรียมฉีดวัคซีนโควิด-19 สลับชนิด ให้ประชาชนกว่า 760,000 คน หลังโครงการโคแวกซ์ ประสบปัญหาความล่าช้าในการจัดส่งวัคซีน",18/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210618181459806
สิงคโปร์ เริ่มฉีดวัคซีนโควิด-19 ของซิโนแวค ให้ประชาชนทั่วไป,19/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210619072236886
ทางการอังกฤษ ยืนยันผู้ติดเชื้อโควิด-19 รายใหม่ เกือบทั้งหมด เป็นผู้ที่ติดเชื้อสายพันธุ์เดลตา,19/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210619072226885
ศูนย์ควบคุมและป้องกันโรคแห่งชาติของสหรัฐฯ เตือนเชื้อโควิด-19 สายพันธุ์เดลตา มีแนวโน้มกลายเป็นเชื้อสายพันธุ์หลักในสหรัฐฯ,19/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210619105717926
ชาวสิงคโปร์จำนวนมากสนใจฉีดวัคซีนโควิด-19 ของจีน แม้วัคซีนขนานอื่นที่ใช้อยู่จะมีประสิทธิภาพมากกว่า,20/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210620164753216
ฟิลิปปินส์สั่งซื้อวัคซีนโควิด-19ของไฟเซอร์ไบโอเอ็นเทคจำนวน 40 ล้านโดส โดยการส่งมอบ                   ชุดแรกจะเริ่มขึ้นภายในสองเดือนนับจากเดือนสิงหาคม,20/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210620205659257
ฟิลิปปินส์สั่งซื้อวัคซีนโควิด-19 ของบริษัทไฟเซอร์ไบโอเอ็นเทคจำนวน 40 ล้านโดส โดยการส่งมอบชุดแรกจะเริ่มขึ้นภายในสองเดือนนับจากเดือนสิงหาคม,21/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210621053426265
ผู้เชี่ยวชาญเตือนว่า อังกฤษอาจเผชิญกับการระบาดระลอกสามของโรคโควิด-19 เนื่องจากเชื้อ          กลายพันธุ์สายพันธุ์เดลตาที่สามารถแพร่กระจายได้อย่างรวดเร็ว,21/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210621112753338
หมอยง คาด 1-2 เดือน ผลศึกษาระยะเวลาเหมาะฉีดวัคซีนโควิดเข็ม 3 กระตุ้นภูมิคุ้มกัน,22/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210622143419842
ประมวลข่าวทั่วไทยประจำวันที่ 22 มิถุนายน 2564,22/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,หน่วยงานสำนักข่าว,https://thainews.prd.go.th/th/news/detail/TCATG210622174350997
อิสราเอล พบความเชื่อมโยงระหว่างวัคซีนโควิด-19 ของไฟเซอร์-ไบโอเอ็นเทค กับการเกิดลิ่มเลือดอุดตัน,22/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210622183000026
วัคซีนโควิด-19 ของบริษัทแอสตราเซเนกามีประสิทธิภาพในการต่อต้านเชื้อกลายพันธุ์ในการทดลองในอินเดีย,23/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210623053259087
สหรัฐอาจไม่สามารถบรรลุเป้าหมายการฉีดวัคซีนโควิด-19 ในประชากรวัยผู้ใหญ่ที่กำหนดไว้ร้อยละ 70,23/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210623053320089
ผลวิจัยชี้ว่าวัคซีนโควิด-19 ของแอสตราเซเนกามีประสิทธิภาพป้องกันเชื้อกลายพันธุ์                   สายพันธุ์ เดลตา และ แคปปา,23/6/2021,ภาคกลางและปริมณฑล,กรุงเทพมหานคร,สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210623204859528
รัฐบาลเตรียมเปิดประเทศภายใน 120 วัน พลิกฟื้นเศรษฐกิจ สู้โควิด-19,24/6/2021,ภาคกลางและปริมณฑล,สมุทรปราการ,สำนักงานประชาสัมพันธ์จังหวัดสมุทรปราการ,https://thainews.prd.go.th/th/news/detail/TCATG210624100330585
นายกรัฐมนตรี ประกาศเป้าหมายเตรียมเปิดประเทศใน 120 วัน หวังพลิกฟื้นเศรษฐกิจ สู้โควิด-19,24/6/2021,ภาคเหนือ,แพร่,สำนักงานประชาสัมพันธ์จังหวัดแพร่,https://thainews.prd.go.th/th/news/detail/TCATG210624121704675
"ทางการสหรัฐฯ พบชาวอเมริกัน มากกว่า 1,200 คน มีอาการกล้ามเนื้อหัวใจอักเสบ หลังฉีดวัคซีนโควิด-19 ชนิดเอ็มอาร์เอ็นเอ",24/6/2021,ภาคเหนือ,แม่ฮ่องสอน,Radio-สถานีวิทยุกระจายเสียงแห่งประเทศไทย,https://thainews.prd.go.th/th/news/detail/TCATG210625070519959
